date,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased
2020-01-22,US_AK,0.0,0.0,0.0,0.0
2020-01-23,US_AK,0.0,0.0,0.0,0.0
2020-01-24,US_AK,0.0,0.0,0.0,0.0
2020-01-25,US_AK,0.0,0.0,0.0,0.0
2020-01-26,US_AK,0.0,0.0,0.0,0.0
2020-01-27,US_AK,0.0,0.0,0.0,0.0
2020-01-28,US_AK,0.0,0.0,0.0,0.0
2020-01-29,US_AK,0.0,0.0,0.0,0.0
2020-01-30,US_AK,0.0,0.0,0.0,0.0
2020-01-31,US_AK,0.0,0.0,0.0,0.0
2020-02-01,US_AK,0.0,0.0,0.0,0.0
2020-02-02,US_AK,0.0,0.0,0.0,0.0
2020-02-03,US_AK,0.0,0.0,0.0,0.0
2020-02-04,US_AK,0.0,0.0,0.0,0.0
2020-02-05,US_AK,0.0,0.0,0.0,0.0
2020-02-06,US_AK,0.0,0.0,0.0,0.0
2020-02-07,US_AK,0.0,0.0,0.0,0.0
2020-02-08,US_AK,0.0,0.0,0.0,0.0
2020-02-09,US_AK,0.0,0.0,0.0,0.0
2020-02-10,US_AK,0.0,0.0,0.0,0.0
2020-02-11,US_AK,0.0,0.0,0.0,0.0
2020-02-12,US_AK,0.0,0.0,0.0,0.0
2020-02-13,US_AK,0.0,0.0,0.0,0.0
2020-02-14,US_AK,0.0,0.0,0.0,0.0
2020-02-15,US_AK,0.0,0.0,0.0,0.0
2020-02-16,US_AK,0.0,0.0,0.0,0.0
2020-02-17,US_AK,0.0,0.0,0.0,0.0
2020-02-18,US_AK,0.0,0.0,0.0,0.0
2020-02-19,US_AK,0.0,0.0,0.0,0.0
2020-02-20,US_AK,0.0,0.0,0.0,0.0
2020-02-21,US_AK,0.0,0.0,0.0,0.0
2020-02-22,US_AK,0.0,0.0,0.0,0.0
2020-02-23,US_AK,0.0,0.0,0.0,0.0
2020-02-24,US_AK,0.0,0.0,0.0,0.0
2020-02-25,US_AK,0.0,0.0,0.0,0.0
2020-02-26,US_AK,0.0,0.0,0.0,0.0
2020-02-27,US_AK,0.0,0.0,0.0,0.0
2020-02-28,US_AK,0.0,0.0,0.0,0.0
2020-02-29,US_AK,0.0,0.0,0.0,0.0
2020-03-01,US_AK,0.0,0.0,0.0,0.0
2020-03-02,US_AK,0.0,0.0,0.0,0.0
2020-03-03,US_AK,0.0,0.0,0.0,0.0
2020-03-04,US_AK,0.0,0.0,0.0,0.0
2020-03-05,US_AK,0.0,0.0,0.0,0.0
2020-03-06,US_AK,0.0,0.0,0.0,0.0
2020-03-07,US_AK,0.0,0.0,0.0,0.0
2020-03-08,US_AK,0.0,0.0,0.0,0.0
2020-03-09,US_AK,0.0,0.0,0.0,0.0
2020-03-10,US_AK,0.0,0.0,0.0,0.0
2020-03-11,US_AK,0.0,0.0,0.0,0.0
2020-03-12,US_AK,0.0,0.0,1.0,0.0
2020-03-13,US_AK,0.0,0.0,1.0,0.0
2020-03-14,US_AK,0.0,0.0,1.0,0.0
2020-03-15,US_AK,0.0,0.0,1.0,0.0
2020-03-16,US_AK,3.0,1.0,3.0,1.0
2020-03-17,US_AK,5.0,0.0,8.0,1.0
2020-03-18,US_AK,3.0,0.0,11.0,1.0
2020-03-19,US_AK,3.0,0.0,14.0,1.0
2020-03-20,US_AK,1.0,0.0,15.0,1.0
2020-03-21,US_AK,10.0,0.0,25.0,1.0
2020-03-22,US_AK,13.0,0.0,38.0,1.0
2020-03-23,US_AK,4.0,0.0,42.0,1.0
2020-03-24,US_AK,7.0,0.0,49.0,1.0
2020-03-25,US_AK,14.0,2.0,63.0,3.0
2020-03-26,US_AK,11.0,0.0,74.0,3.0
2020-03-27,US_AK,17.0,1.0,91.0,4.0
2020-03-28,US_AK,19.0,1.0,110.0,5.0
2020-03-29,US_AK,8.0,1.0,118.0,6.0
2020-03-30,US_AK,10.0,0.0,128.0,6.0
2020-03-31,US_AK,13.0,0.0,141.0,6.0
2020-04-01,US_AK,8.0,0.0,149.0,6.0
2020-04-02,US_AK,11.0,0.0,160.0,6.0
2020-04-03,US_AK,11.0,0.0,171.0,6.0
2020-04-04,US_AK,14.0,1.0,185.0,7.0
2020-04-05,US_AK,6.0,0.0,191.0,7.0
2020-04-06,US_AK,22.0,0.0,213.0,7.0
2020-04-07,US_AK,13.0,1.0,226.0,8.0
2020-04-08,US_AK,9.0,1.0,235.0,9.0
2020-04-09,US_AK,11.0,0.0,246.0,9.0
2020-04-10,US_AK,11.0,0.0,257.0,9.0
2020-04-11,US_AK,15.0,0.0,272.0,9.0
2020-04-12,US_AK,5.0,0.0,277.0,9.0
2020-04-13,US_AK,8.0,0.0,285.0,9.0
2020-04-14,US_AK,8.0,0.0,293.0,9.0
2020-04-15,US_AK,7.0,0.0,300.0,9.0
2020-04-16,US_AK,9.0,0.0,309.0,9.0
2020-04-17,US_AK,5.0,0.0,314.0,9.0
2020-04-18,US_AK,5.0,0.0,319.0,9.0
2020-04-19,US_AK,2.0,0.0,321.0,9.0
2020-04-20,US_AK,8.0,0.0,329.0,9.0
2020-04-21,US_AK,6.0,0.0,335.0,9.0
2020-04-22,US_AK,2.0,0.0,337.0,9.0
2020-04-23,US_AK,2.0,0.0,339.0,9.0
2020-04-24,US_AK,0.0,0.0,339.0,9.0
2020-04-25,US_AK,2.0,0.0,341.0,9.0
2020-04-26,US_AK,4.0,0.0,345.0,9.0
2020-04-27,US_AK,6.0,0.0,351.0,9.0
2020-04-28,US_AK,4.0,0.0,355.0,9.0
2020-04-29,US_AK,0.0,0.0,355.0,9.0
2020-04-30,US_AK,9.0,1.0,364.0,10.0
2020-05-01,US_AK,1.0,0.0,365.0,10.0
2020-05-02,US_AK,3.0,0.0,368.0,10.0
2020-05-03,US_AK,2.0,0.0,370.0,10.0
2020-05-04,US_AK,1.0,0.0,371.0,10.0
2020-05-05,US_AK,1.0,0.0,372.0,10.0
