location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
AD,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146
AE,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485
AF,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913
AG,76.885,,13.1,5.0,126.917,83.13600000000001,29.9,22.6,,4.5171,2.9560000000000004,673.85968,235.749039
AL,78.9,28.7,9.0,7.8,93.315,49.486000000000004,68.0,17.0,,3.6495,1.2164,,
AM,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977
AO,60.782,,4.5,51.6,327.04400000000004,220.291,118.5,16.5,,0.4075,0.2146,114.45964099999999,39.054794
AR,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.6035160000001,198.935944
AT,81.8,29.6,6.6,2.9,79.032,41.778999999999996,15.3,11.4,,7.0899,5.1697,4939.875488000001,948.617432
AU,82.74878000000001,14.7,5.6,3.1,75.835,44.673,8.4,9.1,,12.5508,3.6778,5331.817871,967.8370359999999
AW,76.152,,11.6,,110.63,68.514,,,,,,,
AZ,72.86399999999999,20.8,6.1,19.2,149.499,89.073,63.9,22.2,,,,275.809357,231.283081
BA,77.262,38.9,9.0,5.0,115.27799999999999,59.775,79.8,17.8,,5.7333,2.1616,460.47332800000004,134.178741
BB,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508
BD,72.32,23.0,9.2,25.1,151.411,114.505,149.0,21.6,0.8,0.4124,0.5809,36.282337,26.807108000000003
BE,81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,,19.4614,3.0709,4507.356445,795.0175780000001
BF,61.174,12.5,7.3,49.0,260.379,228.16,206.2,21.7,,0.8829,0.0847,44.403492,14.065959
BG,75.0,37.0,6.0,5.9,183.956,86.49600000000001,61.8,23.6,,4.8156,4.0332,663.715088,308.97641
BH,77.163,26.4,15.6,6.1,72.07300000000001,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.37994399999997
BI,61.247,,5.1,41.0,310.651,253.135,179.9,22.9,,0.8526,0.1001,23.500432999999997,5.98391
BJ,61.47,6.4,1.0,60.5,258.647,211.00799999999998,205.0,19.6,,0.3888,0.0791,30.766446999999996,13.838726999999999
BM,81.651707,,6.7,,,,,,,,,,
BN,75.722,16.9,13.3,9.8,143.719,98.803,13.3,16.6,2.7,5.8974,1.609,671.411499,34.756347999999996
BO,71.23899999999999,,6.8,21.8,219.19400000000002,138.315,63.7,17.2,,1.5589,1.5901,220.274567,55.240124
BR,75.672,13.9,10.4,12.8,188.528,91.421,29.9,16.6,,10.119,2.1643,928.799316,255.006439
BS,73.752,11.5,8.8,8.3,193.627,116.81299999999999,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479
BT,71.46,,10.3,24.8,197.28,194.72099999999998,124.5,23.3,,1.8518,0.4242,96.799301,12.880567999999998
BW,69.275,20.0,5.8,30.0,249.38400000000001,161.96200000000002,101.3,20.3,,5.403,0.5269,465.929321,13.946392999999999
BY,74.17560999999999,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846
BZ,74.49600000000001,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.75410500000001
CA,81.94878,14.3,7.6,4.3,82.625,51.763000000000005,7.0,9.8,,9.9438,2.6102,4754.947754,676.1417240000001
CD,60.368,,6.0,68.2,273.573,224.637,163.9,19.4,,1.1101,0.07400000000000001,19.431646,7.796894
CF,52.805,,6.0,84.5,452.968,371.32300000000004,211.9,23.1,,0.2063,0.0721,24.150055,7.532184
CG,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,,0.6271,,49.983723,24.192739000000003
CH,83.8,25.7,5.7,3.7,58.20399999999999,35.896,10.1,8.6,,17.5357,4.2957,9956.259766,2882.037109
CI,57.422,,2.4,59.4,360.55199999999996,325.098,269.1,29.1,,0.6048,,69.749245,27.453821
CL,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.43771399999997
CM,58.92100000000001,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634
CN,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,,2.6621,1.9798,440.82562300000006,158.919449
CO,77.109,9.0,7.4,12.2,151.616,77.999,37.0,15.8,,1.3309,2.1848,459.197571,74.887901
CR,80.095,11.9,9.1,7.6,113.079,56.968999999999994,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845
CU,78.726,35.2,9.6,3.7,113.198,73.993,49.5,16.4,,7.5614,8.4218,987.627014,103.529617
CV,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.58961499999998,48.427498
CW,78.017073,,11.6,,130.145,63.365,,,,,,,
